Year;Derrame
1910;1091.2018144320002
1911;943.900026048
1912;834.20225136
1913;1835.95894272
1914;1040.407911072
1915;6532.580537856
1916;4538.00002176
1917;1708.048983744
1918;1069.373346912
1919;1922.0029055999998
1920;7091.0905248
1921;3047.3158003199997
1922;3713.2617628800003
1923;2415.033629568
1924;1707.86202624
1925;936.8032337279999
1926;1493.5370742720002
1927;4395.074472
1928;2386.8143760959997
1929;1886.7587834879998
1930;1972.6712784000001
1931;4139.1966815999995
1932;2787.41114784
1933;1627.9530318719999
1934;1604.888399808
1935;3267.129816
1936;1581.054247872
1937;1410.616029024
1938;2101.859522784
1939;1219.111865856
1940;1010.206271808
1941;2203.7656867200003
1942;5156.9998704
1943;2925.643257792
1944;2137.603153536
1945;2747.1010896
1946;1345.072434336
1947;1164.909014208
1948;1195.11628416
1949;1873.3307771519999
1950;1145.512245312
1951;1230.61330944
1952;1069.523987904
1953;1565.82943776
1954;3878.016001344
1955;1904.18535072
1956;1345.8771596160002
1957;988.4675808
1958;1932.55155936
1959;1259.61984576
1960;1264.247506656
1961;1394.88574176
1962;1645.198449408
1963;1186.570366848
1964;2566.75330656
1965;1074.347299872
1966;2801.3256432
1967;1565.6746953600002
1968;989.3961881280001
1969;625.167537696
1970;852.8669611199999
1971;603.06805584
1972;704.2875033600003
1973;2653.113061439999
1974;1602.3606494386452
1975;1631.4182136
1976;1004.9473555200002
1977;897.59001024
1978;1982.7722505599988
1979;2771.9116632
1980;1446.4516535999999
1981;1915.7003900110678
1982;1022.8180707049725
1983;3387.7640951999997
1984;2665.994328
1985;3435.7220064000007
1986;1536.4375056000001
1987;2314.6087824
1988;5747.224046400001
1989;1555.1054784
1990;1692.4436352
1991;1027.7767296
1992;2452.4253792
1993;2816.3789856000003
1994;1764.859752
1995;1469.2120848
1996;888.623784
1997;683.0529984
1998;3737.7252144
1999;1367.6380416000002
2000;1298.0025360000002
2001;1960.3126223999998
2002;1852.1426304
2003;3533.6212761600004
2004;1914.0573887999997
2005;1226.212776
2006;2898.2518191359995
2007;2362.8751660800003
2008;1734.0895791359999
2009;1945.5784415999997
2010;1410.8251239360002
2011;763.951392
2012;1029.9001607999999
2013;1054.8600624
2014;1071.43992432
2015;756.6648383242105
2016;1597.0455028800002
2017;1864.7753522463715
2018;1068.1300008
2019;939.1888169279999
2020;643.2114528
2021;614.2175999999998
2022;539.1652710857144
2023;931.4901215999996
2024;1059.7666647272727
